订单日期,地区,类别,产品名,销售额,利润,销售人员
2024-01-15,华东,电子产品,iPhone 15,8999,2100,张三
2024-01-18,华北,服装,Nike运动鞋,899,180,李四
2024-01-22,华南,家居用品,美的空调,4599,920,王五
2024-02-03,西南,食品饮料,蒙牛牛奶,68,14,赵六
2024-02-10,西北,美妆护肤,兰蔻小黑瓶,1080,270,钱七
2024-02-15,东北,电子产品,MacBook Pro,14999,3500,孙八
2024-02-20,华东,服装,Adidas卫衣,599,120,周九
2024-03-01,华北,家居用品,海尔冰箱,3999,800,吴十
2024-03-08,华南,食品饮料,可口可乐,45,9,张三
2024-03-15,西南,美妆护肤,雅诗兰黛眼霜,780,195,李四
2024-03-20,西北,电子产品,iPad Air,4799,1150,王五
2024-04-01,东北,服装,Levis牛仔裤,399,80,赵六
2024-04-10,华东,家居用品,小米电视,2999,600,钱七
2024-04-18,华北,食品饮料,康师傅方便面,25,5,孙八
2024-04-25,华南,美妆护肤,SK-II神仙水,1590,400,周九
2024-05-05,西南,电子产品,AirPods Pro,1799,430,吴十
2024-05-12,西北,服装,Uniqlo外套,499,100,张三
2024-05-20,东北,家居用品,戴森吸尘器,3490,700,李四
2024-06-01,华东,食品饮料,三只松鼠坚果,89,18,王五
2024-06-10,华北,美妆护肤,资生堂防晒,320,80,赵六
2024-06-18,华南,电子产品,小米手机,3999,960,钱七
2024-06-25,西南,服装,安踏跑步鞋,399,80,孙八
2024-07-05,西北,家居用品,飞利浦电动牙刷,499,100,周九
2024-07-12,东北,食品饮料,良品铺子零食,65,13,吴十
2024-07-20,华东,美妆护肤,欧莱雅精华,280,70,张三
2024-08-01,华北,电子产品,华为Mate,5999,1440,李四
2024-08-10,华南,服装,李宁T恤,199,40,王五
2024-08-18,西南,家居用品,宜家沙发,8999,1800,赵六
2024-08-25,西北,食品饮料,农夫山泉,28,6,钱七
2024-09-05,东北,美妆护肤,玉兰油面霜,220,55,孙八
2024-09-12,华东,电子产品,三星Galaxy,4999,1200,周九
2024-09-20,华北,服装,波司登羽绒服,1299,260,吴十
2024-10-01,华南,家居用品,慕思床垫,6999,1400,张三
2024-10-10,西南,食品饮料,伊利酸奶,35,7,李四
2024-10-18,西北,美妆护肤,完美日记口红,129,32,王五
2024-10-25,东北,电子产品,联想笔记本,7999,1920,赵六
2024-11-05,华东,服装,海澜之家衬衫,299,60,钱七
2024-11-12,华北,家居用品,全友衣柜,4999,1000,孙八
2024-11-20,华南,食品饮料,统一奶茶,42,8,周九
2024-12-01,西南,美妆护肤,花西子粉饼,199,50,吴十
2024-12-10,西北,电子产品,iPhone 15,8999,2100,张三
2024-12-18,东北,服装,Nike运动鞋,899,180,李四
2024-12-25,华东,家居用品,美的空调,4599,920,王五
2024-01-15,华东,电子产品,iPhone 15,8999,,张三
2024-01-18,华北,服装,Nike运动鞋,无效数据,180,李四
2024-02-03,西南,食品饮料,蒙牛牛奶,68,,赵六
2024-02-10,西北,美妆护肤,兰蔻小黑瓶,无效数据,270,钱七
2024-03-08,华南,食品饮料,可口可乐,45,,张三
